SMILES,TYPE,IC50
COC(=O)c1ccc(NC(=O)c2csc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)n2)cc1,1b(BOC) + 7b + 5a,
COC(=O)c1cccc(NC(=O)c2csc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)n2)c1,1b(BOC) + 7b + 6a,
CCOC(=O)c1csc(NC(=O)c2csc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)n2)n1,1b(BOC) + 7b + 7a,
COC(=O)c1cc(NC(=O)c2csc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)n2)cs1,1b(BOC) + 7b + 8a,
CCOC(=O)c1nc(NC(=O)c2csc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)n2)cn1C,1b(BOC) + 7b + 9a,
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1csc(NC(=O)c2cc(NC(=O)OC(C)(C)C)cn2C)n1)CC3,1b(BOC) + 7b + 10a,
COC(=O)c1cc2cc(NC(=O)c3csc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)n3)ccc2s1,1b(BOC) + 7b + 11a,
COC(=O)c1cc2cc(NC(=O)c3csc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)n3)ccc2o1,1b(BOC) + 7b + 12a,
CCOC(=O)c1cc2cc(NC(=O)c3csc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)n3)ccc2[nH]1,1b(BOC) + 7b + 13a,
COC(=O)c1nc2ccc(NC(=O)c3csc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)n3)cc2o1,1b(BOC) + 7b + 14a,
COC(=O)c1nc2cc(NC(=O)c3csc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)n3)ccc2[nH]1,1b(BOC) + 7b + 15a,
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cs2)cn1C,1b(BOC) + 8b + 1a,
COC(=O)c1ccc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cs2)cc1,1b(BOC) + 8b + 5a,
COC(=O)c1cccc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cs2)c1,1b(BOC) + 8b + 6a,
CCOC(=O)c1csc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cs2)n1,1b(BOC) + 8b + 7a,
COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cs2)cs1,1b(BOC) + 8b + 8a,
CCOC(=O)c1nc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cs2)cn1C,1b(BOC) + 8b + 9a,
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)c2cc(NC(=O)OC(C)(C)C)cn2C)cs1)CC3,1b(BOC) + 8b + 10a,
COC(=O)c1cc2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cs3)ccc2s1,1b(BOC) + 8b + 11a,
COC(=O)c1cc2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cs3)ccc2o1,1b(BOC) + 8b + 12a,
CCOC(=O)c1cc2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cs3)ccc2[nH]1,1b(BOC) + 8b + 13a,
COC(=O)c1nc2ccc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cs3)cc2o1,1b(BOC) + 8b + 14a,
COC(=O)c1nc2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cs3)ccc2[nH]1,1b(BOC) + 8b + 15a,
COC(=O)c1cc(NC(=O)c2nc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)cn1C,1b(BOC) + 9b + 1a,
COC(=O)c1ccc(NC(=O)c2nc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)cc1,1b(BOC) + 9b + 5a,
COC(=O)c1cccc(NC(=O)c2nc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)c1,1b(BOC) + 9b + 6a,
CCOC(=O)c1csc(NC(=O)c2nc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)n1,1b(BOC) + 9b + 7a,
COC(=O)c1cc(NC(=O)c2nc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)cs1,1b(BOC) + 9b + 8a,
CCOC(=O)c1nc(NC(=O)c2nc(NC(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)cn2C)cn1C,1b(BOC) + 9b + 9a,
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1nc(NC(=O)c2cc(NC(=O)OC(C)(C)C)cn2C)cn1C)CC3,1b(BOC) + 9b + 10a,
COC(=O)c1cc2cc(NC(=O)c3nc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cn3C)ccc2s1,1b(BOC) + 9b + 11a,
COC(=O)c1cc2cc(NC(=O)c3nc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cn3C)ccc2o1,1b(BOC) + 9b + 12a,
CCOC(=O)c1cc2cc(NC(=O)c3nc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cn3C)ccc2[nH]1,1b(BOC) + 9b + 13a,
COC(=O)c1nc2ccc(NC(=O)c3nc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cn3C)cc2o1,1b(BOC) + 9b + 14a,
COC(=O)c1nc2cc(NC(=O)c3nc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)cn3C)ccc2[nH]1,1b(BOC) + 9b + 15a,
COC(=O)c1cc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc(NC(=O)OC(C)(C)C)cn2C)CC4)cn1C,1b(BOC) + 10b + 1a,
COC(=O)c1ccc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc(NC(=O)OC(C)(C)C)cn2C)CC4)cc1,1b(BOC) + 10b + 5a,
COC(=O)c1cccc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc(NC(=O)OC(C)(C)C)cn2C)CC4)c1,1b(BOC) + 10b + 6a,
CCOC(=O)c1csc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc(NC(=O)OC(C)(C)C)cn2C)CC4)n1,1b(BOC) + 10b + 7a,
COC(=O)c1cc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc(NC(=O)OC(C)(C)C)cn2C)CC4)cs1,1b(BOC) + 10b + 8a,
CCOC(=O)c1nc(NC(=O)c2cc3c4c(ccc3[nH]2)N(C(=O)c2cc(NC(=O)OC(C)(C)C)cn2C)CC4)cn1C,1b(BOC) + 10b + 9a,
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc2c4c(ccc2[nH]1)N(C(=O)c1cc(NC(=O)OC(C)(C)C)cn1C)CC4)CC3,1b(BOC) + 10b + 10a,
COC(=O)c1cc2cc(NC(=O)c3cc4c5c(ccc4[nH]3)N(C(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)CC5)ccc2s1,1b(BOC) + 10b + 11a,
COC(=O)c1cc2cc(NC(=O)c3cc4c5c(ccc4[nH]3)N(C(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)CC5)ccc2o1,1b(BOC) + 10b + 12a,
CCOC(=O)c1cc2cc(NC(=O)c3cc4c5c(ccc4[nH]3)N(C(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)CC5)ccc2[nH]1,1b(BOC) + 10b + 13a,
COC(=O)c1nc2ccc(NC(=O)c3cc4c5c(ccc4[nH]3)N(C(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)CC5)cc2o1,1b(BOC) + 10b + 14a,
COC(=O)c1nc2cc(NC(=O)c3cc4c5c(ccc4[nH]3)N(C(=O)c3cc(NC(=O)OC(C)(C)C)cn3C)CC5)ccc2[nH]1,1b(BOC) + 10b + 15a,
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3s2)cn1C,1b(BOC) + 11b + 1a,
COC(=O)c1ccc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3s2)cc1,1b(BOC) + 11b + 5a,
COC(=O)c1cccc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3s2)c1,1b(BOC) + 11b + 6a,
CCOC(=O)c1csc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3s2)n1,1b(BOC) + 11b + 7a,
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3s2)cs1,1b(BOC) + 11b + 8a,
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3s2)cn1C,1b(BOC) + 11b + 9a,
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc2cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc2s1)CC3,1b(BOC) + 11b + 10a,
COC(=O)c1cc2cc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4s3)ccc2s1,1b(BOC) + 11b + 11a,
COC(=O)c1cc2cc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4s3)ccc2o1,1b(BOC) + 11b + 12a,
CCOC(=O)c1cc2cc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4s3)ccc2[nH]1,1b(BOC) + 11b + 13a,
COC(=O)c1nc2ccc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4s3)cc2o1,1b(BOC) + 11b + 14a,
COC(=O)c1nc2cc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4s3)ccc2[nH]1,1b(BOC) + 11b + 15a,
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3o2)cn1C,1b(BOC) + 12b + 1a,
COC(=O)c1ccc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3o2)cc1,1b(BOC) + 12b + 5a,
COC(=O)c1cccc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3o2)c1,1b(BOC) + 12b + 6a,
CCOC(=O)c1csc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3o2)n1,1b(BOC) + 12b + 7a,
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3o2)cs1,1b(BOC) + 12b + 8a,
CCOC(=O)c1nc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3o2)cn1C,1b(BOC) + 12b + 9a,
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1cc2cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc2o1)CC3,1b(BOC) + 12b + 10a,
COC(=O)c1cc2cc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4o3)ccc2s1,1b(BOC) + 12b + 11a,
COC(=O)c1cc2cc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4o3)ccc2o1,1b(BOC) + 12b + 12a,
CCOC(=O)c1cc2cc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4o3)ccc2[nH]1,1b(BOC) + 12b + 13a,
COC(=O)c1nc2ccc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4o3)cc2o1,1b(BOC) + 12b + 14a,
COC(=O)c1nc2cc(NC(=O)c3cc4cc(NC(=O)c5cc(NC(=O)OC(C)(C)C)cn5C)ccc4o3)ccc2[nH]1,1b(BOC) + 12b + 15a,
COC(=O)c1cc(NC(=O)c2cc3cc(NC(=O)c4cc(NC(=O)OC(C)(C)C)cn4C)ccc3[nH]2)cn1C,1b(BOC) + 13b + 1a,
