A_SMILES,B_SMILES,AB_SMILES,TYPE
CC(C)(C)OC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]N1CCC2=C1C=CC1=C2C=C(N1)C([*:2])=O,CC(C)(C)OC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]N3CCc4c3ccc3[nH]c(C(=O)[*:2])cc43)cc2c1,13b(BOC) + 10b
CC(C)(C)OC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]NC1=CC2=C(SC(=C2)C([*:2])=O)C=C1,CC(C)(C)OC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3ccc4sc(C(=O)[*:2])cc4c3)cc2c1,13b(BOC) + 11b
CC(C)(C)OC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]NC1=CC2=C(OC(=C2)C([*:2])=O)C=C1,CC(C)(C)OC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3ccc4oc(C(=O)[*:2])cc4c3)cc2c1,13b(BOC) + 12b
CC(C)(C)OC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]NC1=CC2=C(NC(=C2)C([*:2])=O)C=C1,CC(C)(C)OC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3ccc4[nH]c(C(=O)[*:2])cc4c3)cc2c1,13b(BOC) + 13b
CC(C)(C)OC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]NC1=CC2=C(C=C1)N=C(O2)C([*:2])=O,CC(C)(C)OC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3ccc4nc(C(=O)[*:2])oc4c3)cc2c1,13b(BOC) + 14b
CN(C)CCCC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,CN1C=C(N[*:1])C=C1C([*:2])=O,CN(C)CCCC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3cc(C(=O)[*:2])n(C)c3)cc2c1,13b(DMABA) + 1b
CN(C)CCCC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]NC1=CC=C(C=C1)C([*:2])=O,CN(C)CCCC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3ccc(C(=O)[*:2])cc3)cc2c1,13b(DMABA) + 5b
CN(C)CCCC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]NC1=CC(=CC=C1)C([*:2])=O,CN(C)CCCC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3cccc(C(=O)[*:2])c3)cc2c1,13b(DMABA) + 6b
CN(C)CCCC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]NC1=NC(=CS1)C([*:2])=O,CN(C)CCCC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3nc(C(=O)[*:2])cs3)cc2c1,13b(DMABA) + 7b
CN(C)CCCC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]NC1=CSC(=C1)C([*:2])=O,CN(C)CCCC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3csc(C(=O)[*:2])c3)cc2c1,13b(DMABA) + 8b
CN(C)CCCC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,CN1C=C(N[*:1])N=C1C([*:2])=O,CN(C)CCCC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3cn(C)c(C(=O)[*:2])n3)cc2c1,13b(DMABA) + 9b
CN(C)CCCC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]N1CCC2=C1C=CC1=C2C=C(N1)C([*:2])=O,CN(C)CCCC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]N3CCc4c3ccc3[nH]c(C(=O)[*:2])cc43)cc2c1,13b(DMABA) + 10b
CN(C)CCCC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]NC1=CC2=C(SC(=C2)C([*:2])=O)C=C1,CN(C)CCCC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3ccc4sc(C(=O)[*:2])cc4c3)cc2c1,13b(DMABA) + 11b
CN(C)CCCC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]NC1=CC2=C(OC(=C2)C([*:2])=O)C=C1,CN(C)CCCC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3ccc4oc(C(=O)[*:2])cc4c3)cc2c1,13b(DMABA) + 12b
CN(C)CCCC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]NC1=CC2=C(NC(=C2)C([*:2])=O)C=C1,CN(C)CCCC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3ccc4[nH]c(C(=O)[*:2])cc4c3)cc2c1,13b(DMABA) + 13b
CN(C)CCCC(=O)NC1=CC2=C(NC(=C2)C([*])=O)C=C1,[*:1]NC1=CC2=C(C=C1)N=C(O2)C([*:2])=O,CN(C)CCCC(=O)Nc1ccc2[nH]c(C(=O)*[*:1]Nc3ccc4nc(C(=O)[*:2])oc4c3)cc2c1,13b(DMABA) + 14b
