chembl_id,pIC50
CHEMBL115422,3.2447798325895096
CHEMBL116032,4.193992684263532
CHEMBL116666,4.6709939919015175
CHEMBL116694,3.987323542258514
CHEMBL277393,3.0794172115421032
CHEMBL306518,5.379845925332262
CHEMBL308256,5.294261957037385
CHEMBL416174,3.4160347466149723
CHEMBL540264,7.635
CHEMBL554387,5.7
CHEMBL76369,4.502501300143167
CHEMBL76689,4.408948330184845
CHEMBL80316,4.877708807327585
